Instant,Weekday,Rings Blasted Block 5 SLC 70L,Rings Blasted Block 5 SLC 73L,Rings Blasted Block 5 SLC 75L,Rings Blasted Block 5 SLC 78L,Hoisted BLOCK 5 SLC 70L,Hoisted BLOCK 5 SLC 73L,Hoisted BLOCK 5 SLC 75L,Hoisted BLOCK 5 SLC 78L,Hoisted BLOCK 5 SLC Phase 2 70L,Hoisted BLOCK 5 SLC Phase 2 73L,Distinct LHDs,DailyHoist
61,5,1,3,3,0,0,0,0,0,0,0,0,0
62,6,1,3,3,0,0,0.214136126,0.354712042,0,0.087958115,0.343193717,8,3285.2
63,7,1,3,3,0,0,0.098664272,0.290605006,0,0.304523516,0.306207206,8,7661.74
64,1,1,3,2,0,0,0.163770531,0.494168055,0,0,0.342061414,8,7225.72
65,2,1,3,1,0,0,0.223771383,0.435775734,0,0.127756353,0.212696529,11,8697.18
66,3,1,3,2,0,0,0.142561082,0.42386562,0.033486038,0.229602967,0.170484293,10,7884.48
67,4,1,3,2,0,0,0.21792158,0.399959681,0.003830259,0.075294829,0.30299365,9,8532.06
68,5,1,4,3,0,0,0.271060842,0.349193968,0,0.219188768,0.160556422,9,6615.12
69,6,1,5,3,0,0,0.275,0.338205128,0,0.043589744,0.343205128,7,6708
70,7,1,5,5,0,0,0.120356473,0.474484053,0,0.033208255,0.37195122,9,9167.6
71,1,1,5,5,0,0,0.003145853,0.55729266,0,0.238989514,0.200571973,11,9021.4
72,2,1,4,4,0,0,0.243362415,0.381767033,0,0.202895872,0.17197468,11,11684.22
73,3,2,3,3,1,0,0.269721693,0.332254098,0,0.241876668,0.156147541,11,10492
74,4,3,3,3,1,0,0.330621217,0.320809996,0,0.229844757,0.11872403,11,10167.95
75,5,3,2,2,1,0,0.388725862,0.269759172,0,0.29744287,0.044072096,10,8222.89
76,6,3,3,2,1,0,0.167639696,0.267261341,0.009754596,0.480289073,0.075055295,9,6171.45
